AmbCO - Ambulance Clinical Outcomes,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year:<All>,Period Name:<All>,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,Period Name,SHA Code,SHA Name,Org Code,Org Name,SQU03_3_1_1 SUM,SQU03_3_1_2 SUM,SQU03_3_2_1 SUM,SQU03_3_2_2 SUM,SQU03_5_1_1 SUM,SQU03_5_1_2 SUM,SQU03_5_2_1 SUM,SQU03_5_2_2 SUM,SQU03_5_3_1 SUM,SQU03_5_3_2 SUM,SQU03_6_1_1 SUM,SQU03_6_1_2 SUM,SQU03_6_2_1 SUM,SQU03_6_2_2 SUM,SQU03_7_1_1 SUM,SQU03_7_1_2 SUM,SQU03_7_2_1 SUM,SQU03_7_2_2 SUM,
2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,32,240,7,22,0,3,45,48,110,146,288,390,812,854,15,240,4,22,
2012-13,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,46,239,15,38,0,1,92,112,106,152,335,479,721,771,18,231,12,37,
2013-14,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,51,268,14,35,NULL,NULL,81,97,77,92,244,386,663,683,31,266,11,33,
2014-15,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,49,233,11,24,0,0,91,110,77,95,200,359,645,663,14,225,7,24,
2015-16,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,61,215,18,26,0,0,75,94,117,136,179,314,590,601,16,196,10,22,
2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,16,96,2,9,4,5,72,77,70,98,45,86,273,300,5,94,2,8,
2012-13,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,57,286,21,53,2,5,94,99,126,144,63,139,835,861,19,275,8,49,
2013-14,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,37,202,19,34,NULL,NULL,104,114,85,107,61,83,755,768,16,197,12,31,
2014-15,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,42,255,9,32,0,0,100,107,88,108,67,111,710,718,18,245,5,29,
2015-16,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,55,225,17,27,0,0,78,86,110,156,92,146,768,784,9,205,5,22,
2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,50,191,11,25,5,6,97,112,52,79,161,209,713,801,22,191,3,25,
2012-13,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,101,309,14,31,1,4,114,138,78,88,134,219,772,835,24,309,1,31,
2013-14,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,84,345,14,42,NULL,NULL,124,145,86,116,105,177,624,681,21,345,8,42,
2014-15,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,96,318,12,32,0,0,111,128,84,102,125,230,704,738,32,318,10,32,
2015-16,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,93,306,19,35,0,0,118,140,103,134,121,202,567,601,28,306,13,35,
2011-12,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,27,226,11,26,0,0,38,39,116,185,54,116,112,120,13,226,6,26,
2012-13,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,59,274,24,40,0,0,58,62,93,114,98,205,559,593,11,247,6,31,
2013-14,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,47,228,12,23,NULL,NULL,92,104,124,156,88,203,510,530,17,227,7,22,
2014-15,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,53,254,10,22,0,0,82,92,114,128,175,294,597,611,14,254,4,22,
2015-16,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,67,275,14,36,0,0,105,120,131,155,181,290,671,695,18,266,8,34,
2011-12,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,89,333,26,60,0,0,94,98,155,223,277,423,916,1003,28,329,14,59,
2012-13,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,109,369,21,46,0,0,116,132,155,225,301,456,729,769,36,362,13,45,
2013-14,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,99,375,22,45,NULL,NULL,118,124,198,258,379,591,933,981,33,371,13,43,
2014-15,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,126,380,26,42,0,0,110,115,199,266,410,626,945,993,42,376,19,42,
2015-16,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,121,370,37,58,0,0,96,108,174,260,330,540,939,964,37,364,23,56,
2011-12,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,64,240,13,28,1,1,95,98,78,116,240,366,408,427,18,221,5,21,
2012-13,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,67,309,17,40,0,0,34,37,101,122,285,449,639,689,17,304,4,39,
2013-14,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,85,261,10,22,NULL,NULL,80,83,108,138,356,553,797,855,20,254,5,22,
2014-15,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,67,232,16,27,0,0,86,99,84,101,344,481,715,755,25,226,8,23,
2015-16,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,42,191,13,33,0,0,42,46,66,97,291,454,740,754,12,180,6,36,
2011-12,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,2,16,2,6,1,1,0,0,3,5,0,22,41,43,0,16,0,6,
2012-13,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,0,8,0,1,1,1,0,0,2,2,12,16,38,46,0,8,0,1,
2013-14,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,1,12,0,1,NULL,NULL,2,3,1,3,2,6,18,18,0,12,0,1,
2014-15,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,0,11,1,2,0,0,3,3,9,10,10,17,37,37,0,11,0,2,
2015-16,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,5,13,3,4,0,0,0,0,4,5,11,19,38,38,1,13,1,4,
2011-12,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,27,147,2,8,0,0,81,92,22,40,109,175,49,49,10,147,0,8,
2012-13,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,39,106,3,9,0,0,68,73,79,105,86,176,522,545,13,100,1,9,
2013-14,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,40,112,8,15,NULL,NULL,72,78,71,118,82,191,491,498,23,99,5,15,
2014-15,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,59,138,23,40,0,0,73,83,72,107,114,215,502,510,19,126,10,37,
2015-16,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,35,126,13,31,0,0,44,48,50,105,63,112,589,596,13,117,5,28,
2011-12,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,17,89,5,13,0,0,40,41,28,34,43,66,112,112,2,89,2,13,
2012-13,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,26,101,5,16,0,0,32,35,28,28,57,95,137,137,11,101,4,16,
2011-12,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,29,101,6,10,8,11,49,55,152,206,227,421,581,659,3,101,2,10,
2012-13,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,50,196,9,31,2,4,45,57,184,223,128,242,660,687,11,188,3,30,
2013-14,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,78,337,23,50,NULL,NULL,125,152,154,172,175,301,752,770,28,336,14,49,
2014-15,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,58,311,16,48,0,0,105,132,155,174,173,311,828,851,23,309,11,48,
2015-16,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,81,300,19,40,0,0,98,134,188,220,177,348,843,860,27,300,11,40,
2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,33,105,18,25,0,0,78,83,79,106,114,139,296,318,12,100,11,22,
2012-13,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,50,133,14,19,0,0,84,91,53,66,124,141,321,337,17,131,10,19,
2013-14,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,30,100,6,8,NULL,NULL,70,76,60,75,118,171,302,308,9,96,3,8,
2014-15,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,40,112,6,14,0,0,46,53,40,47,145,207,485,493,4,96,1,9,
2015-16,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,34,142,6,12,0,0,47,51,50,61,110,184,406,413,9,142,4,12,
2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,68,256,15,37,2,7,111,116,153,184,144,158,362,368,23,180,5,22,
2012-13,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,80,303,18,41,3,4,106,125,170,194,344,406,1098,1104,26,260,8,33,
2013-14,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,96,320,25,50,NULL,NULL,132,144,180,212,375,463,1054,1057,28,280,11,41,
2014-15,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,85,284,18,42,0,0,92,110,177,193,179,254,566,570,25,260,10,35,
2015-16,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,93,261,15,27,0,0,87,100,161,192,192,286,565,567,24,245,8,24,
2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,52,226,10,21,1,1,83,95,108,154,270,350,726,761,22,224,7,19,
2012-13,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,60,241,20,38,0,0,89,105,90,110,220,357,701,724,20,227,8,36,
2013-14,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,54,227,17,34,NULL,NULL,83,101,88,101,210,346,600,614,21,186,10,27,
2014-15,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,74,266,14,30,0,0,75,86,51,62,227,396,708,721,24,221,7,24,
2015-16,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,75,220,25,38,0,0,71,81,70,80,249,437,712,728,23,204,13,35,
2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,14,72,3,5,8,12,68,70,72,107,50,79,430,456,2,67,1,3,
2012-13,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,44,220,19,39,3,8,77,80,71,99,65,139,813,859,21,212,12,34,
2013-14,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,39,216,8,26,NULL,NULL,85,96,80,115,56,86,794,814,11,212,4,25,
2014-15,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,49,215,12,31,0,0,103,110,101,121,79,134,748,761,11,206,5,28,
2015-16,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,49,216,13,27,0,0,51,54,98,126,78,139,725,735,13,195,2,20,
2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,47,210,7,20,1,3,74,84,68,83,137,228,757,801,12,210,2,20,
2012-13,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,82,268,12,35,0,2,90,101,72,108,136,216,662,702,20,268,3,35,
2013-14,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,68,273,13,32,NULL,NULL,105,122,114,150,167,262,751,795,24,273,6,32,
2014-15,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,91,314,15,34,0,0,114,126,79,95,108,251,605,638,24,314,9,34,
2015-16,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,92,295,26,43,0,0,78,94,91,119,158,280,636,668,28,295,15,43,
2011-12,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,52,215,17,32,0,0,35,39,120,153,117,186,351,370,8,194,6,25,
2012-13,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,67,274,17,31,0,0,100,111,107,138,139,256,576,607,19,274,8,31,
2013-14,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,64,234,13,31,NULL,NULL,36,43,133,151,125,228,577,602,18,224,6,29,
2014-15,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,49,208,8,16,0,0,86,88,109,145,138,248,623,642,15,203,2,15,
2015-16,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,75,278,18,32,0,0,91,99,122,153,173,339,808,823,11,262,6,28,
2011-12,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,95,334,23,41,0,2,75,82,109,193,297,447,1025,1129,30,327,14,41,
2012-13,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,117,319,25,41,0,0,75,89,133,195,402,530,836,879,30,313,10,39,
2013-14,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,109,327,32,51,NULL,NULL,113,121,173,224,361,526,781,837,39,320,19,48,
2014-15,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,134,352,26,39,0,0,95,104,150,209,330,535,887,921,40,342,14,36,
2015-16,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,107,324,27,36,0,0,106,116,172,248,401,623,1035,1069,43,320,20,36,
2011-12,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,29,136,7,14,0,0,45,45,48,55,104,152,173,186,5,127,2,8,
2012-13,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,37,209,10,22,0,0,69,85,67,102,307,540,522,608,13,205,6,21,
2013-14,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,75,237,18,32,NULL,NULL,72,76,94,115,345,534,781,832,17,224,9,29,
2014-15,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,63,207,21,35,0,0,74,80,75,99,303,447,738,783,10,204,6,34,
2015-16,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,50,181,10,20,0,0,51,51,80,122,310,462,485,504,15,175,5,20,
2011-12,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,3,9,0,0,0,0,0,0,0,4,0,20,34,40,0,3,0,0,
2012-13,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,2,7,0,1,1,1,2,2,4,4,1,1,48,48,0,7,0,1,
2013-14,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,3,12,1,2,NULL,NULL,0,0,4,5,6,9,22,23,1,12,0,2,
2014-15,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,1,13,0,3,0,0,0,1,5,7,9,19,33,36,0,13,0,3,
2015-16,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,R1F,ISLE OF WIGHT NHS TRUST,5,21,2,2,0,0,0,1,6,9,9,18,34,35,3,21,2,2,
2011-12,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,11,107,1,7,0,0,63,67,38,50,81,143,47,50,4,107,1,7,
2012-13,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,46,112,9,13,0,0,62,70,84,120,89,180,516,536,12,97,2,13,
2013-14,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,37,99,3,7,NULL,NULL,63,68,56,91,97,214,543,548,20,84,3,6,
2014-15,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,42,112,13,31,0,0,55,58,75,92,122,212,509,517,21,108,8,30,
2015-16,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,20,139,6,28,0,0,54,65,65,100,56,98,595,619,14,121,5,22,
2011-12,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,18,74,4,17,0,0,29,29,22,25,40,66,102,106,5,74,2,17,
2012-13,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,36,107,14,16,0,0,28,33,51,53,52,68,121,121,18,107,9,16,
2011-12,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,36,136,9,21,3,10,15,23,166,199,140,226,577,615,14,136,4,20,
2012-13,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,43,160,7,21,0,2,53,62,82,98,120,221,533,553,19,159,7,21,
2013-14,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,75,311,16,51,NULL,NULL,114,135,127,147,155,314,771,797,39,309,11,50,
