NHS 111 - SHA & Self Provider View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider Org:<All>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearnumber,Periodname,Provider Org Code,Provider Name,Commissioner Org Code,Commissioner Org Name,Nhs1 Population SUM,Nhs1 Number Calls Offered SUM,Nhs1 Calls Through 111 SUM,Nhs1 Calls Through Other SUM,Nhs1 Abandoned Calls SUM,Nhs1 Answered Calls SUM,Nhs1 Answered Through 111 SUM,Nhs1 Answered Through Other SUM,Nhs1 Answered 60sec SUM,Nhs1 Calls Person Triaged SUM,Nhs1 Cnt Caller Terminated SUM,Nhs1 Cnt Caller Referred SUM,Nhs1 Cnt Caller Given Info SUM,Nhs1 Cnt Other Reason SUM,Nhs1 Transferred To Ca SUM,Nhs1 Wtransferred To Ca SUM,Nhs1 Ave Wtransfer Time SUM,Nhs1 Person Offered Call Back SUM,Nhs1 Calls Back Within 10mins SUM,Nhs1 Ave Episode Length SUM,Nhs1 Amb Dispatches SUM,Nhs1 Recommend To Ae SUM,Nhs1 Recommend To Primcare SUM,Nhs1 Rec Contact Prim Com Care SUM,Nhs1 Rec Speak Prim Com Care SUM,Nhs1 Rec Dental Pharmacy SUM,Nhs1 Recommend To Other SUM,Nhs1 Not Recommend SUM,Nhs1 Given Health Information SUM,Nhs1 Recommended Home Care SUM,Nhs1 Recommended Non Clinical SUM,Nhs1 Time Call Handlers SUM,Nhs1 Time Clinical Staff SUM,Nhs1 Cost Call Handlers SUM,Nhs1 Cost Clinical Staff SUM,Nhs1 Total Other Costs SUM
2011-12,Oct-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,4513,1838,2675,25,4353,1769,2584,4277,3547,355,15,4,33,1046,999,00:02:52,47,36,00:10:58,398,227,1765,1289,392,84,116,1041,88,335,618,27872,16494,NCA,NCA,NCA
2011-12,Nov-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,6105,2230,3875,116,5766,2110,3656,5609,4789,462,16,8,69,1213,1100,00:03:02,113,90,00:09:56,449,221,2393,1756,541,96,146,1580,154,401,1025,27278,15548,NCA,NCA,NCA
2011-12,Dec-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,9349,2920,6429,574,7783,2772,5011,7216,5765,1060,68,28,126,1471,1275,00:03:37,196,128,00:09:40,573,267,2944,2226,613,105,161,1820,166,475,1179,46728,22888,0,0,0
2011-12,Jan-12,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,308735,6102,2902,3200,180,5671,2778,2893,5259,4670,425,69,14,78,1372,1200,00:03:15,172,127,00:11:39,610,263,2379,1731,554,94,141,1277,145,409,723,40097.75006,19980,NCA,NCA,NCA
2011-12,Feb-12,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,308735,6723,3064,3659,127,6332,2920,3412,5977,4541,681,291,61,143,1291,1052,00:04:20,239,146,00:12:31,573,258,2222,1605,540,77,148,1340,125,394,821,43667.63324,19957.46686,NCA,NCA,NCA
2011-12,Mar-12,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,308735,7366,3791,3575,44,7072,3659,3413,6944,4955,1251,148,61,137,1392,1227,00:03:19,169,115,00:10:39,683,354,2539,1844,568,127,134,1245,139,462,644,48244.18323,18484.09988,0,0,0
2012-13,Apr-12,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,308735,7510,3385,4125,40,7265,3301,3964,7154,5293,1281,39,72,89,1312,1165,00:03:32,147,113,00:09:43,743,372,2836,2122,552,162,201,1141,163,449,529,46752.6499,17208.28342,0,0,0
2010-11,Aug-10,111AA1,County Durham & Darlington,5ND,County Durham PCT ,615656,14972,4261,10711,130,12409,2469,9940,12083,7062,4477,158,249,278,1258,875,00:06:32,383,98,00:04:13,843,387,4548,3886,542,120,461,823,142,475,206,47794.53333,10212.73333,NCA,NCA,NCA
2010-11,Sep-10,111AA1,County Durham & Darlington,5ND,County Durham PCT ,615656,14781,5565,9216,125,12137,4342,7795,11884,6979,2969,135,268,106,1336,1088,00:04:44,248,131,00:05:57,904,526,4318,3276,864,178,292,939,125,618,196,66044.28333,10786.9,NCA,NCA,NCA
2010-11,Oct-10,111AA1,County Durham & Darlington,5ND,County Durham PCT ,615656,14489,6043,8446,105,12235,4964,7271,11976,7967,2933,139,310,143,1691,1458,00:04:47,233,102,00:06:22,1011,590,5071,3965,933,173,313,982,124,663,195,60374.66667,13819,NCA,NCA,NCA
2010-11,Nov-10,111AA1,County Durham & Darlington,5ND,County Durham PCT ,615656,14148,6226,7922,124,11519,4948,6571,11225,7729,2488,77,392,112,1816,1605,00:04:38,211,93,00:06:53,1057,595,4939,3790,967,182,289,849,108,549,192,52051.16667,15119.16667,NCA,NCA,NCA
2010-11,Dec-10,111AA1,County Durham & Darlington,5ND,County Durham PCT ,615656,25420,11550,13870,2603,15598,7707,7891,13323,11916,2057,55,459,220,2485,2058,00:04:48,427,170,00:07:05,1454,789,7461,5853,1369,239,888,1324,162,926,236,77622.06667,19672.08333,NCA,NCA,NCA
2010-11,Jan-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,21733,9958,11775,721,14974,8330,6644,14004,11703,1849,277,472,317,2350,2005,00:04:44,345,124,00:06:44,1221,790,7654,6100,1327,227,745,1293,137,955,201,71858.38333,17371.88333,NCA,NCA,NCA
2010-11,Feb-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,15195,8335,6860,95,12290,8167,4123,12077,9125,1098,495,415,422,2024,1697,00:05:03,327,109,00:06:48,1080,709,5682,4473,976,233,622,1032,113,696,223,54361.53333,14601.46667,NCA,NCA,NCA
2010-11,Mar-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,18322,10489,7833,108,14357,10118,4239,13877,10690,977,564,322,452,2437,2170,00:04:51,267,104,00:06:35,1355,890,6563,5114,1205,244,685,1197,172,733,292,60467.5,17133.91667,NCA,NCA,NCA
2011-12,Apr-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,18870,11915,6955,59,15609,11645,3964,15330,11985,810,291,360,523,2697,2491,00:05:37,206,144,00:07:06,1492,946,7298,5484,1317,497,833,1416,185,850,381,71884.15,22651.1,NCA,NCA,NCA
2011-12,May-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,17588,11046,6542,56,13968,10734,3234,13680,10530,826,422,461,453,2266,2221,00:08:00,45,25,00:06:55,1329,922,6420,4722,1217,481,733,1126,147,655,324,62491.55,15855.83333,NCA,NCA,NCA
2011-12,Jun-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,17677,10288,7389,66,13166,10810,2356,12892,9216,652,437,474,934,2018,1976,00:09:27,42,28,00:07:00,1296,803,5499,3879,1047,573,613,1005,120,571,314,55342.28333,14019.96667,NCA,NCA,NCA
2011-12,Jul-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,16438,11285,5153,81,12820,11187,1633,12577,9784,745,545,420,589,2110,2070,00:07:43,40,29,00:07:04,1445,751,5818,4107,1108,603,697,1073,154,565,354,59792.56667,15102.58333,NCA,NCA,NCA
2011-12,Aug-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,17806,11183,6623,67,12810,10753,2057,12543,9525,784,733,410,537,2014,1987,00:07:03,27,18,00:06:40,1382,817,5622,3892,1090,640,744,960,135,526,299,58095.5,14331.01667,NCA,NCA,NCA
2011-12,Sep-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,15488,11287,4201,27,12071,10937,1134,11985,9637,713,356,398,523,2010,1886,00:06:35,124,52,00:07:08,1581,888,5504,3811,1134,559,658,1006,148,514,344,63236.73333,15248.48333,NCA,NCA,NCA
2011-12,Oct-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,16971,13279,3692,34,13421,12381,1040,13392,10834,735,363,438,556,2342,2079,00:08:15,263,29,00:07:31,1832,925,6297,4359,1289,649,739,1041,126,567,348,66950,17964,NCA,NCA,NCA
2011-12,Nov-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,15676,12203,3473,11,12542,11629,913,12498,10150,705,382,476,483,2263,1739,00:06:38,524,111,00:07:39,1661,851,5945,4221,1172,552,681,1012,153,533,326,59188,16112,NCA,NCA,NCA
2011-12,Dec-11,111AA1,County Durham & Darlington,5ND,County Durham PCT ,618578,20063,16166,3897,287,16397,15326,1071,15674,13606,1071,352,520,594,2925,2416,00:06:14,509,81,00:07:48,2241,998,8039,5712,1468,859,943,1385,218,799,368,71720,19764,,,
2011-12,Jan-12,111AA1,County Durham & Darlington,5ND,County Durham PCT ,619596,18307,14943,3364,230,14749,13850,899,14301,11506,1774,357,449,857,2600,2328,00:04:48,272,33,00:08:36,1980,866,6749,4738,1336,675,781,1130,154,667,309,155801.5,16854,NCA,NCA,NCA
2011-12,Feb-12,111AA1,County Durham & Darlington,5ND,County Durham PCT ,619596,17740,14761,2979,57,14613,13833,780,14358,11429,1898,328,375,907,2587,2351,00:03:54,236,33,00:05:33,1951,934,6689,4704,1286,699,629,1226,187,697,342,66390.81667,16302,,,
2011-12,Mar-12,111AA1,County Durham & Darlington,5ND,County Durham PCT ,619596,19368,16128,3240,57,15962,15071,891,15754,12530,2090,409,436,1107,2641,2318,00:04:30,323,50,00:06:46,1982,973,7527,5442,1437,648,738,1310,211,715,384,66709.56667,16572,0,0,0
2012-13,Apr-12,111AA1,County Durham & Darlington,5ND,County Durham PCT ,619596,19444,16875,2569,53,16359,15649,703,16189,13422,1924,283,524,902,2646,2332,00:03:43,314,54,00:06:48,2042,1083,8247,5910,1498,839,859,1191,204,600,387,67588.1,16572,,,
2010-11,Dec-10,111AA3,Luton,5GC,Luton Teaching PCT,199583,4251,1724,2527,212,3954,1598,2356,3403,3424,217,98,13,69,1026,809,00:04:14,217,115,00:14:25,261,127,2102,1774,279,49,212,722,95,424,203,28091.4,14812.5,NCA,NCA,NCA
2010-11,Jan-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,3239,1316,1923,28,3161,1270,1891,3081,2817,156,14,16,41,883,837,00:04:06,46,27,00:13:09,271,116,1679,1352,272,55,142,609,93,329,187,20131.91667,12629.8,NCA,NCA,NCA
2010-11,Feb-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,2410,1166,1244,3,2367,1132,1235,2351,2090,147,13,5,11,788,730,00:03:48,58,32,00:13:54,175,104,1232,975,213,44,90,489,51,232,206,13464.95,11414.45,NCA,NCA,NCA
2010-11,Mar-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,2980,1765,1215,21,2892,1703,1189,2846,2604,198,87,6,38,938,864,00:03:35,74,45,00:13:38,270,142,1422,1103,266,53,113,657,84,313,260,16138.45,12960.01667,NCA,NCA,NCA
2011-12,Apr-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,3442,2060,1382,28,3346,1988,1358,3256,2935,144,14,3,31,1055,972,00:03:39,83,58,00:12:58,242,141,1731,1382,313,36,163,658,91,330,237,24851,15152,NCA,NCA,NCA
2011-12,May-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,3188,1969,1219,21,3100,1906,1194,3019,2651,141,21,10,25,946,864,00:03:22,82,59,00:12:35,257,143,1517,1163,296,58,126,608,65,291,252,21810,13450,NCA,NCA,NCA
2011-12,Jun-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,2730,1764,966,17,2662,1713,949,2590,2244,118,9,4,34,797,745,00:03:18,52,33,00:12:30,179,119,1271,1002,234,35,91,584,50,277,257,18527,11680,NCA,NCA,NCA
2011-12,Jul-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,2896,1902,994,16,2834,1851,983,2784,2428,122,9,5,23,890,824,00:03:09,66,49,00:12:36,202,139,1377,1090,250,37,126,584,46,292,246,20025,11783,NCA,NCA,NCA
2011-12,Aug-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,3082,2196,886,29,2994,2125,869,2900,2364,211,8,4,23,730,684,00:03:15,46,36,00:11:12,212,129,1228,958,214,56,99,696,55,248,393,18832,10155,NCA,NCA,NCA
2011-12,Sep-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,3052,2213,839,15,2987,2165,822,2918,2501,145,10,0,35,787,744,00:02:51,43,33,00:12:09,240,145,1314,1036,236,42,91,711,87,270,354,20670,11160,NCA,NCA,NCA
2011-12,Oct-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,3432,2521,911,17,3356,2454,902,3299,2880,177,5,5,37,969,913,00:03:05,56,44,00:12:42,266,150,1575,1214,314,47,151,738,71,301,366,24460,15178,NCA,NCA,NCA
2011-12,Nov-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,3508,2668,840,23,3420,2594,826,3336,3093,129,20,6,43,970,861,00:03:06,109,84,00:13:00,266,182,1713,1290,359,64,147,785,97,335,353,21821,12115,,,
2011-12,Dec-11,111AA3,Luton,5GC,Luton Teaching PCT,203641,4828,3782,1046,127,4580,3611,969,4207,4006,206,57,14,97,1253,1107,00:03:14,146,99,00:12:57,378,222,2245,1675,470,100,160,1001,126,433,442,36565,18231,0,0,0
2011-12,Jan-12,111AA3,Luton,5GC,Luton Teaching PCT,205843,4035,3160,875,66,3867,3032,835,3577,3398,191,50,9,54,1063,928,00:03:41,135,99,00:13:22,372,175,1910,1450,413,47,141,800,93,343,364,31662.28317,15585,,,
2011-12,Feb-12,111AA3,Luton,5GC,Luton Teaching PCT,205843,4197,3382,815,106,3993,3235,758,3681,3254,215,219,24,87,1064,818,00:04:42,246,135,00:15:15,317,149,1900,1433,404,63,120,768,82,339,347,33319.03308,16738.80005,,,
2011-12,Mar-12,111AA3,Luton,5GC,Luton Teaching PCT,205843,4019,3238,781,21,3924,3165,759,3836,3305,276,90,26,90,998,855,00:03:09,144,96,00:12:51,369,233,1904,1425,405,74,142,657,86,323,248,32518.09976,13066.76671,0,0,0
2012-13,Apr-12,111AA3,Luton,5GC,Luton Teaching PCT,205843,3712,3133,579,20,3610,3049,561,3543,3096,290,28,15,41,809,724,00:03:22,85,50,00:11:47,347,216,1796,1406,311,79,107,630,81,322,227,28536.45001,10532.04997,0,0,0
2010-11,Dec-10,111AA2,Lincolnshire,5N9,Lincolnshire PCT,711805,4320,4320,0,158,4024,4024,0,3658,3377,273,25,21,80,1052,895,00:03:53,157,101,00:13:46,483,227,1647,1246,291,110,91,929,184,473,272,24867.26667,15691.85,NCA,NCA,NCA
2010-11,Jan-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,3623,3623,0,31,3463,3463,0,3373,3104,208,12,17,59,1043,976,00:03:52,67,35,00:13:18,443,230,1529,1216,236,77,69,833,182,378,273,19779.51667,15112.33333,NCA,NCA,NCA
2010-11,Feb-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,2682,2682,0,4,2522,2522,0,2505,2167,219,70,11,42,795,740,00:03:33,55,37,00:12:59,327,128,978,749,182,47,56,678,117,230,331,12723.83333,11925.03333,NCA,NCA,NCA
2010-11,Mar-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,4909,4909,0,34,4628,4628,0,4551,4183,393,121,16,71,1586,1515,00:03:30,71,45,00:13:09,653,345,1863,1384,366,113,110,1212,194,559,459,24060.53333,20602.88333,NCA,NCA,NCA
2011-12,Apr-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,12184,12184,0,83,11818,11818,0,11494,9533,444,1114,62,378,3456,3268,00:03:20,188,139,00:13:11,1135,560,5415,3911,1284,220,443,1980,295,953,732,83225,60563,NCA,NCA,NCA
2011-12,May-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,10678,10678,0,60,10420,10420,0,10198,8795,422,726,44,192,3086,2907,00:03:16,179,143,00:12:39,1051,561,4953,3532,1241,180,452,1778,258,883,637,73381,51309,NCA,NCA,NCA
2011-12,Jun-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,9390,9390,0,45,9189,9189,0,8987,7757,338,577,28,200,2651,2488,00:03:12,163,126,00:12:25,894,515,4180,3018,1005,157,416,1752,226,749,777,61727,44127,NCA,NCA,NCA
2011-12,Jul-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,11038,11038,0,56,10775,10775,0,10568,9039,564,469,21,187,2936,2716,00:03:06,220,153,00:11:49,1027,546,4723,3451,1101,171,480,2263,231,913,1119,72441,43915,NCA,NCA,NCA
2011-12,Aug-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,10499,10499,0,95,10220,10220,0,9909,8794,431,454,38,190,3117,2899,00:03:07,218,158,00:12:21,1075,573,4711,3465,1066,180,402,2033,251,966,816,72473,44210,NCA,NCA,NCA
2011-12,Sep-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,10272,10272,0,51,10052,10052,0,9823,8956,385,328,26,167,2918,2789,00:02:55,129,95,00:12:11,1179,642,4607,3325,1081,201,365,2163,245,964,954,73007,43849,NCA,NCA,NCA
2011-12,Oct-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,11676,11676,0,47,11364,11364,0,11194,10174,476,209,29,156,3186,3058,00:03:03,128,92,00:12:04,1280,667,5544,3998,1357,189,455,2228,272,981,975,82255,51826,NCA,NCA,NCA
2011-12,Nov-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,11340,11340,0,107,10906,10906,0,10669,9630,328,421,18,186,3045,2773,00:02:58,272,224,00:12:47,1257,628,5164,3684,1314,166,364,2217,270,888,1059,58747,43324,NCA,NCA,NCA
2011-12,Dec-11,111AA2,Lincolnshire,5N9,Lincolnshire PCT,714768,16667,16667,0,445,15622,15622,0,14332,12536,588,1371,59,492,3785,3310,00:03:06,475,304,00:13:14,1582,734,6840,4885,1695,260,448,2932,370,1135,1427,116237,66658,0,0,0
2011-12,Jan-12,111AA2,Lincolnshire,5N9,Lincolnshire PCT,718838,16781,16781,0,298,16009,16009,0,14864,13344,957,579,32,262,3764,3285,00:03:13,479,359,00:11:33,1611,755,6536,4592,1712,232,522,3920,385,1081,2454,108606.567,58130,0,,
2011-12,Feb-12,111AA2,Lincolnshire,5N9,Lincolnshire PCT,718838,14315,14315,0,277,13740,13740,0,12786,8156,593,3069,107,821,2539,1937,00:04:22,602,336,00:16:26,1123,453,4151,2916,1069,166,314,2115,205,739,1171,96233.65027,69848.31628,,,
2011-12,Mar-12,111AA2,Lincolnshire,5N9,Lincolnshire PCT,718838,15589,15589,0,74,15270,15270,0,14913,11333,858,1678,70,584,3544,3035,00:03:20,514,371,00:13:43,1547,825,6315,4557,1501,257,366,2280,285,1103,892,116249.7822,61432.21668,0,0,0
2012-13,Apr-12,111AA2,Lincolnshire,5N9,Lincolnshire PCT,718838,15639,15639,0,60,15327,15327,0,14998,13203,1063,379,61,140,3471,3132,00:03:02,339,245,00:11:05,1898,895,7603,5555,1744,304,428,2379,367,1181,831,111684.3159,45534.53357,0,0,0
2011-12,Nov-11,111AA6,Isle of Wight,5QT,Isle of Wight National Health Service,138392,3284,2175,1109,86,2627,1715,912,2620,2361,61,2,61,0,0,,00:00:00,,,00:00:00,317,134,1192,763,398,31,366,352,162,128,62,NCA,NCA,NCA,NCA,NCA
2011-12,Dec-11,111AA6,Isle of Wight,5QT,Isle of Wight National Health Service,138392,4377,3436,941,237,3669,2876,793,3665,3206,66,41,39,0,,,00:00:00,,,00:05:52,429,172,1790,1233,487,70,431,384,140,178,66,NCA,NCA,0,0,0
2011-12,Jan-12,111AA6,Isle of Wight,5QT,Isle of Wight National Health Service,138748,3736,2924,812,154,3197,2521,676,2954,2758,44,0,34,0,0,0,00:00:00,0,0,00:05:55,327,163,1562,1097,413,52,373,333,117,168,48,NCA,NCA,0,0,0
2011-12,Feb-12,111AA6,Isle of Wight,5QT,Isle of Wight National Health Service,138748,3941,3171,770,185,3242,2614,628,3029,2750,31,0,35,0,420,378,00:00:10,78,34,00:05:45,319,172,1691,1175,462,54,258,310,100,178,32,NCA,NCa,0,0,0
2011-12,Mar-12,111AA6,Isle of Wight,5QT,Isle of Wight National Health Service,138748,4079,3400,679,359,3281,2733,548,3095,2840,32,3,26,0,473,445,00:00:11,28,17,00:05:29,344,189,1711,1190,457,64,254,342,102,206,34,NCA,NCA,0,0,0
2012-13,Apr-12,111AA6,Isle of Wight,5QT,Isle of Wight National Health Service,138748,4193,3460,733,370,3624,3007,617,3356,2963,4,0,5,0,573,544,00:00:14,29,13,00:05:52,372,183,1806,1246,510,50,227,375,128,202,45,NCA,NCa,0,0,0
2011-12,Nov-11,111AA5,DHU,5N6,Derbyshire County,240000,3702,2420,1282,18,3499,2398,1101,,2332,0,14,15,64,621,407,,84,57,00:11:23,271,118,1154,914,191,49,618,171,34,99,38,NCA,NCA,NCA,NCA,NCA
2011-12,Dec-11,111AA5,DHU,5N6,Derbyshire County,240000,6875,4532,2343,109,5783,4624,1159,,3856,0,20,39,126,1212,457,,307,190,00:07:17,467,171,1803,1395,304,104,1127,288,56,187,45,NCA,NCA,0,0,0
2011-12,Jan-12,111AA5,DHU,5N6,Derbyshire County,240000,5556,4302,1254,16,5306,4273,1033,0,3583,1,14,20,113,1294,646,00:01:17,311,211,00:12:15,500,174,2141,1698,360,83,288,480,32,380,68,NCA,NCA,,,
2011-12,Feb-12,111AA5,DHU,5N6,Derbyshire County,240000,5888,4729,1159,0,5743,4692,1051,,3443,0,17,21,137,1217,521,00:01:18,344,220,00:12:45,429,175,1995,1577,339,79,286,558,46,426,86,NCA,NCA,,,
2011-12,Mar-12,111AA5,DHU,5N6,Derbyshire County,400000,7854,6681,1173,0,5742,4920,822,0,5159,0,16,30,102,1876,764,00:01:11,471,227,00:13:20,616,284,3037,2370,548,119,425,797,72,605,120,NCA,NCA,0,0,0
2012-13,Apr-12,111AA5,DHU,5N6,Derbyshire County,700000,10798,9358,1440,0,10499,9251,1248,0,7189,2,14,30,66,2911,1437,00:01:25,714,390,00:13:22,893,377,4251,3323,729,199,635,1033,74,743,216,NCA,NCA,0,0,0
2011-12,Dec-11,111AA8,Cumbria and Lancashire,5N8,Cumbria and Lancashire,1967197,20748,10705,10043,286,15718,10344,5374,15030,12895,2768,123,42,115,2958,2515,00:08:42,443,234,00:09:19,1088,594,8763,6624,1785,354,477,1973,228,873,872,200038,NCA,0,0,0
2011-12,Jan-12,111AA8,Cumbria and Lancashire,5N8,Cumbria and Lancashire,1970836,20514,12658,7856,203,15608,11543,4065,15182,12591,1088,78,15,303,3064,2559,00:03:55,505,292,00:08:26,1228,766,8074,6007,1721,346,379,2144,214,924,1006,100165.566,42022,0,0,0
