AmbSYS - Ambulance Systems Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year:<All>,Period Name:<All>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Period Name,Parent org code,Parent name,Org Code,Org Name,HQU03_1_1_3 SUM,HQU03_1_1_4 SUM,HQU03_1_1_5 SUM,HQU03_1_1_6 SUM,HQU03_1_1_7 SUM,HQU03_1_2_1 SUM,HQU03_1_2_2 SUM,SQU03_1_1_1 SUM,SQU03_1_1_2 SUM,SQU03_2_1_1 SUM,SQU03_2_1_2 SUM,SQU03_2_2_1 SUM,SQU03_2_2_2 SUM,SQU03_2_3_1 SUM,SQU03_2_3_2 SUM,SQU03_8_1_1_50 SUM,SQU03_8_1_1_95 SUM,SQU03_8_1_1_99 SUM,SQU03_9_1_1_50 SUM,SQU03_9_1_1_95 SUM,SQU03_9_1_1_99 SUM,SQU03_10_1_1 SUM,SQU03_10_1_2 SUM,SQU03_10_2_1 SUM,SQU03_10_2_2 SUM,Asi Srs17 1 1 1 SUM
2011-12,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8100,8377,0,0,238,1759,668,11248,0,0,3,18,75,5.85,16.45,26.55,1759,30657,11443,28888,NULL
2011-12,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12497,12965,3038,42297,280,1687,636,10497,0,42297,2,42,109,5.1,16.9,25.7,1687,28069,12012,25050,NULL
2011-12,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,485,499,47,2159,11,225,12,469,12,2159,4,7,9,6,18,24,225,1768,507,1543,1074
2011-12,AUGUST,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,28745,28935,55,112353,259,5824,974,19028,3496,112353,0,2,37,5.4,11.7,18.1,5824,89534,23526,83710,64038
2011-12,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,7681,7696,227,27754,90,987,224,6888,32,27754,1,1.5,50,5.4,13.9,21.2,987,17121,7550,16455,14359
2011-12,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11970,12125,305,38558,110,823,324,5965,0,38558,1,1,30,5.266666667,13.47083333,20.25666667,823,25705,8381,25664,24692
2011-12,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,26297,27214,755,96550,880,2295,815,13263,0,96550,1,3,6,4.68,12.38,21.23,2295,69539,13595,67911,62584
2011-12,AUGUST,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,19304,19716,682,59725,464,1870,742,9120,729,59725,1,5,73,5.22,12.76,19.49,1870,46242,10713,44316,38715
2011-12,AUGUST,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,16596,17988,1173,60253,150,3859,769,13308,64,60253,2,28,70,6.033333333,20.4,35.53333333,3859,46455,17134,42535,29227
2011-12,AUGUST,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,23840,24304,726,70543,282,3311,746,18206,0,70543,3,22,57,5.56,14.03,21.21,3311,58150,18573,54839,43519
2011-12,AUGUST,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17224,18143,1482,72641,187,1980,1005,21198,0,72641,1,27,84,4.47,15.7,25.15,1980,54281,24694,52313,36632
2011-12,AUGUST,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,18014,18331,321,45971,294,2320,818,14628,0,45971,3,17,51,5.42,15.53,23.38,2320,46081,16649,43761,32920
2011-12,AUGUST,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8064,8373,0,34171,305,1757,690,11226,782,34171,3,36,111,5.88,16.9,26.55,1757,30651,11556,28894,17569
2011-12,AUGUST,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12114,12688,1758,41723,265,1769,1077,11087,0,41723,2,47,117,5.1,18,28,1769,29830,12775,26430,21995
2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,626,636,37,2020,1,112,11,494,16,2020,1,4,9,6.36,17.33,19.33,112,1758,746,1646,1152
2011-12,DECEMBER,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,34296,34658,124,134197,444,5705,1095,20339,3776,134197,0,5,55,5.8,12.9,20,5705,96556,30037,90851,69817
2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,9513,9932,342,33298,111,1801,231,8507,8,33298,1,10,72,5.6,15.18,22.97,1801,19426,8706,18068,15045
2011-12,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,13334,13586,337,41969,148,992,333,6618,0,41969,1,1,29,5.5,15.01666667,22.473,992,25812,9170,28457,26845
2011-12,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,30585,32315,1384,111244,938,2728,917,14342,0,111244,1,4,13,5.02,15,28.58,2728,77791,15038,75793,69952
2011-12,DECEMBER,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,22327,23021,1425,69897,448,2753,858,10323,851,69897,1,29,100,5.39,13.86,20.96,2753,52407,11703,49601,43099
2011-12,DECEMBER,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,18786,20671,732,67810,95,3855,991,15267,74,67810,2,28,74,6.2,21.9,38.05,3855,52284,19489,48395,33128
2011-12,DECEMBER,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,31950,32594,705,76413,635,4016,943,19937,0,76413,1,8,51,5.55,14.15,21.93,4016,64459,20370,60443,47330
2011-12,DECEMBER,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,19218,20518,642,79482,462,3338,1207,23431,0,79482,1,21,83,4.92,18.33,28.42,3338,60575,26836,57218,39232
2011-12,DECEMBER,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,21926,22436,392,51346,311,2767,986,16673,0,51346,3,24,67,5.35,16.18,24.45,2767,51067,18823,48300,35753
2011-12,DECEMBER,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,9625,10355,863,39228,269,1909,976,13389,2268,39228,3,55,131,6.48,20.8,36.42,1909,34609,13389,32700,19771
2011-12,DECEMBER,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12473,12989,1585,43693,259,1903,761,11506,0,43693,2,50,100,5.2,17.8,28.3,1903,30753,13013,26984,22540
2011-12,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,572,582,40,1882,3,130,16,480,13,1882,1,4,8,5.39,16.56,21.58,130,1659,667,1529,1049
2011-12,FEBRUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,33448,33775,191,128940,428,5658,1069,18974,3728,128940,0,18,72,5.7,12.8,19.5,5658,92982,27312,87324,67738
2011-12,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,8541,8955,384,30723,174,1703,209,7753,40,30723,1,15,75,5.67,15,22.83,1703,17630,8021,16325,13775
2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11929,12188,287,38947,138,944,336,5898,0,38947,1,1,35,5.65,15.17,23.028,944,25993,8664,25798,24676
2011-12,FEBRUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,28304,30145,1192,104093,878,2398,860,12798,0,104093,1,5,12,5.05,15.5,33.07,2398,71134,13239,69353,64211
2011-12,FEBRUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,21095,21594,1138,64461,750,2566,860,9556,783,64461,1,26,96,5.3,13.19,19.63,2566,48695,10820,46051,40423
2011-12,FEBRUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,16843,18642,587,61403,142,2903,886,13627,45,61403,2,33,81,6.283333333,22.46666667,39.71666667,2903,47214,17502,44305,30678
2011-12,FEBRUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,27605,28373,550,71975,638,4145,930,18525,0,71975,1,4,46,5.78,15.16,23.45,4145,60076,18868,55931,43831
2011-12,FEBRUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17251,18393,476,73985,498,3348,1088,21545,0,73985,1,15,68,4.97,18.35,28.28,3348,55375,24599,52007,35933
2011-12,FEBRUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,21045,21663,1015,49077,382,2723,1039,15440,0,49077,3,28,78,5.62,17.25,26.58,2723,47712,17268,44989,33405
2011-12,FEBRUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8467,9003,998,35456,293,1735,821,12176,2288,35456,3,55,126,6.37,19.38,33.22,1735,31156,12480,29421,17688
2011-12,FEBRUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11321,11857,1590,40908,223,1780,665,10481,0,40908,2,54,102,5.4,18.9,29.4,1780,28282,11863,24599,21203
2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,565,579,28,1871,4,112,9,440,9,1871,1,4,11,6.26,15.26,18.36,112,1632,639,1520,1080
2011-12,JANUARY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,32661,32889,121,121716,383,5481,953,19025,3598,121716,0,2,60,5.3,11.7,18.6,5481,94141,28362,88660,68942
2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,8862,9184,309,30280,103,1421,340,7776,17,30280,1,8,73,5.4,13.98,20.6,1421,17952,8052,16882,14398
2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12477,12663,233,39197,133,805,293,6019,0,39197,1,1,30,5.283333333,13.85,20.66,805,26605,8717,26687,25934
2011-12,JANUARY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,29674,30792,1853,102616,885,2498,770,12932,0,102616,1,4,13,4.82,12.98,23.67,2498,72729,13347,70866,66020
2011-12,JANUARY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,21519,21865,2046,64801,631,2435,728,9174,792,64801,1,5,70,5,12.06,17.78,2435,48473,10441,45998,41362
2011-12,JANUARY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,18347,19820,743,61645,95,3607,974,14165,45,61645,2,9,53,5.9,19.58,32.52,3607,49546,18174,45847,31682
2011-12,JANUARY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,30739,31292,391,72904,591,3959,959,18924,0,72904,1,1,37,5.33,13.45,20.98,3959,62006,19251,58047,45817
2011-12,JANUARY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,18065,19021,431,74966,476,3374,1043,21442,0,74966,1,13,69,4.75,17.15,26.83,3374,57136,24411,53750,38074
2011-12,JANUARY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,22360,22763,195,47599,323,2415,960,15333,0,47599,3,12,45,5.15,15.12,22.88,2415,48097,17417,45682,34446
2011-12,JANUARY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8933,9376,511,32497,249,1642,815,11931,2235,32497,3,21,98,6.08,18.03,29.43,1642,31308,11944,29685,18187
2011-12,JANUARY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11471,12031,1533,41471,274,1785,713,10767,0,41471,2,47,98,5.3,19,29.4,1785,28708,12160,25198,21470
2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,555,564,67,2345,9,270,4,433,9,2345,5,9,14,7,18,21,270,1821,467,1551,1118
2011-12,JULY,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,31101,31281,63,121608,184,6168,928,20512,3729,121608,0,3,53,5.6,11.8,17.5,6168,96084,24949,89916,68705
2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,8237,8251,368,30014,86,1021,290,7171,20,30014,1,5,70,5.4,14.2,21.4,1021,18126,7560,17476,15051
2011-12,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12133,12315,427,39024,99,808,315,6090,0,39024,1,1,40,5.25,13.66666667,20.21666667,808,26055,8718,26044,25036
2011-12,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,27456,28527,931,102861,861,2289,854,13673,0,102861,1,3,7,4.97,12.85,23.18,2289,72798,14332,71348,65201
2011-12,JULY,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,20340,20732,954,62676,555,1964,786,9725,1037,62676,1,29,70,5.32,12.2,17.83,1964,47999,10999,46035,40389
2011-12,JULY,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,16964,18238,828,61424,110,3476,714,13743,93,61424,2,25,66,5.95,19.28333333,33.25,3476,47667,17709,44030,30287
2011-12,JULY,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,23796,24259,327,72567,824,3700,776,19010,0,72567,1,4,36,5.53,13.9,21,3700,60589,19403,56889,44275
2011-12,JULY,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,18109,19100,1729,73607,137,2021,680,21316,0,73607,3,14,45,4.62,16.33,24.77,2021,55210,27019,53189,37250
2011-12,JULY,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,19009,19360,450,46882,117,2378,399,14799,0,46882,3,20,58,5.37,15.58,23.33,2378,47607,16825,45229,33901
2011-12,JULY,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,8358,8706,0,34620,286,1812,696,11851,471,34620,3,28,99,5.9,17.35,29.33333333,1812,32203,12057,30390,18553
2011-12,JULY,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,12157,12677,1706,41295,225,1756,763,10888,0,41295,2,42,115,5.1,17.4,27.5,1756,29994,12602,26417,22053
2011-12,JUNE,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,492,512,104,2148,1,256,6,418,7,2148,6,10,13,4,6,6,256,1661,453,1405,987
2011-12,JUNE,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,28446,28655,188,120494,207,4549,898,20096,3560,120494,0,15,69,5.9,12.4,18.4,4549,92935,24185,86707,65936
2011-12,JUNE,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,7976,8306,343,28547,87,994,194,6357,18,28547,1,11,90,5.5,14.5,22.2,994,21886,9076,21129,14567
2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11302,11443,711,38002,106,809,297,5820,0,38002,1,1,28,5.133333333,13.41666667,20.26833333,809,25000,8309,24839,24100
2011-12,JUNE,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,27103,28243,1235,102037,893,2267,808,13603,0,102037,1,1,18,5.15,13.63,24.58,2267,71345,14319,70090,64418
2011-12,JUNE,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,19560,19989,820,60146,465,1786,797,9158,689,60146,1,26,65,5.22,12.08,17.65,1786,46223,10544,44358,33814
2011-12,JUNE,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,16284,17537,799,59365,121,3123,762,13544,91,59365,2,30,78,6.016666667,19.43333333,32.28333333,3123,46165,17423,43048,29504
2011-12,JUNE,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,21337,21773,541,64864,967,3328,736,18203,0,64864,1,1,26,5.75,14.18,20.98,3328,58993,18602,55665,43706
2011-12,JUNE,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17595,18523,1272,70592,0,1827,551,20357,0,70592,3,29,83,4.63,15.77,24.65,1827,53271,25952,51444,36497
